Tyrus Wibberley,Elizabeth City Middle School,Math,111819,twibberley0@qq.com,20-2426366
Ulrick Denmead,Elizabeth City Middle School,English,947520,udenmead1@linkedin.com,55-7959150
Fidelity Morbey,Elizabeth City Middle School,Writing,299173,fmorbey2@weibo.com,88-0312390
Chrissie Adamik,Elizabeth City Middle School,Math,820068,cadamik3@yale.edu,08-0091745
Muire Traher,Elizabeth City Middle School,English,266583,mtraher4@oracle.com,62-6498715
Waldemar Eldridge,Camden Middle School,Writing,997402,weldridge5@spotify.com,49-6536650
Sebastien Volett,Camden Middle School,Math,520017,svolett6@alibaba.com,65-4618496
Lorne Woof,Camden Middle School,English,831881,lwoof7@instagram.com,17-5262658
Fransisco Haig,Camden Middle School,Writing,689892,fhaig8@dailymail.co.uk,23-8491211
Thorvald Abdy,Camden Middle School,Math,668249,tabdy9@barnesandnoble.com,54-0432887
Annmarie Joron,Moyock Middle School,English,568041,ajorona@github.com,95-2481011
Morrie Kubach,Moyock Middle School,Writing,822897,mkubachb@amazon.de,76-9111601
Cameron Brisker,Moyock Middle School,Math,253157,cbriskerc@shutterfly.com,09-0178753
Mikkel Francke,Moyock Middle School,English,924940,mfrancked@mail.ru,30-8329082
Isidor Lafay,Moyock Middle School,Writing,364725,ilafaye@pinterest.com,55-3791824
Jorgan Goodlip,Perquimans County Middle School,Math,699282,jgoodlipf@mapquest.com,06-4927710
Norris Martel,Perquimans County Middle School,English,891535,nmartelg@ning.com,37-8514516
Marguerite Silvermann,Perquimans County Middle School,Writing,134652,msilvermannh@studiopress.com,59-5637134
Judye Coulling,Perquimans County Middle School,Math,743523,jcoullingi@bizjournals.com,85-3530392
Doro Korneichik,Perquimans County Middle School,Writing,255365,dkorneichikj@boston.com,05-7335153
Alard Pischel,River Road Middle School,Math,541317,apischelk@uiuc.edu,23-4553267
Jeff Jakes,River Road Middle School,English,435055,jjakesl@twitter.com,01-2025234
Maryl Bram,River Road Middle School,Writing,647064,mbramm@discovery.com,59-0697351
Nettle Gerault,River Road Middle School,Math,311614,ngeraultn@ucoz.ru,65-5497522
Merralee Southey,River Road Middle School,English,729297,msoutheyo@unc.edu,21-7064013
